Route,Cost ($),1
"[55, 59, 6]",757.5
"[55, 65, 4, 18]",851.25
"[55, 42, 26, 35]",900.0
"[55, 61, 40, 30]",840.0
"[55, 24, 25]",682.5
"[55, 41, 37, 64]",877.5
"[55, 5, 62, 38]",877.5
"[55, 8, 1, 53]",888.75
"[55, 50, 0]",686.25
"[55, 17, 63]",682.5
"[55, 21, 46, 22]",896.25
"[55, 58, 52]",648.75
"[55, 39, 51]",768.75
"[55, 32, 29, 43]",896.25
"[55, 34, 14]",772.5
"[55, 57, 13, 2]",840.0
"[55, 45, 54, 10]",885.0
"[55, 31, 36]",660.0
"[55, 7, 11]",806.25
"[55, 3, 33]",746.25
"[55, 15, 27]",765.0
"[55, 60, 12, 49]",900.0
"[55, 28, 47]",802.5
"[55, 19, 16, 56]",836.25
"[55, 20, 44]",855.0
Total Cost: ,20122.5
Route,Cost ($),2
"[55, 45, 31, 42, 26, 35]",832.5
"[55, 32, 3, 33]",712.5
"[55, 7, 20]",633.75
"[55, 19, 16, 18]",581.25
"[55, 22, 25, 24, 38]",633.75
"[55, 34, 52]",543.75
"[55, 30, 43, 10, 39, 29]",888.75
"[55, 41, 37, 46, 0]",858.75
"[55, 47, 11]",528.75
"[55, 49, 40]",491.25
"[55, 6, 28]",671.25
"[55, 13, 27, 5, 36]",675.0
"[55, 4, 12, 17]",667.5
"[55, 21, 8, 1, 51, 50]",843.75
"[55, 44, 14]",641.25
"[55, 2, 15]",491.25
Total Cost: ,10695.0
